Kernel,C,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
linear,0.1,balanced,0.8716654650324441,0.591776798825257,0.6413890857547838,0.7049562682215744,0.6816393621854142,0.3183606378145858,1209,178,601,834,0.8519021739130435,0.6217154189390184,0.643531976744186,0.7188306104901118,0.6625583897416181,0.33744161025838193,1254,218,517,763
linear,1,balanced,0.8708563535911602,0.6172295643661282,0.6566265060240963,0.7224291034087654,0.6885891082421142,0.31141089175788583,1261,187,592,782,0.8531513970110461,0.6509667823500248,0.6620639534883721,0.7384701912260968,0.6717418945763729,0.3282581054236271,1313,226,509,704
linear,10,balanced,0.8765867418899859,0.6084189916789036,0.6545003543586109,0.7182895117018203,0.6918860041834827,0.3081139958165173,1243,175,604,800,0.8579804560260587,0.652949925632127,0.6664244186046512,0.7415540540540541,0.6781756430881722,0.32182435691182776,1317,218,517,700
linear,100,balanced,0.8832630098452883,0.6147821830641214,0.6622962437987243,0.7249639249639249,0.7008442365898271,0.2991557634101729,1256,166,613,787,0.8639947437582128,0.6519583539910758,0.6696947674418605,0.7431477818592822,0.6851628504649256,0.31483714953507436,1315,207,528,702
rbf,0.1,balanced,0.8796372629843363,0.5222711698482624,0.6024096385542169,0.6554054054054054,0.6674257004568654,0.33257429954313456,1067,146,633,976,0.8598629093678599,0.5597421913733267,0.6104651162790697,0.6780780780780781,0.6547010276594525,0.3452989723405475,1129,184,551,888
rbf,1,balanced,0.8709229701596114,0.6142927068037201,0.6548547129695251,0.7204362801377727,0.6877625279846584,0.3122374720153416,1255,186,593,788,0.8523401450230719,0.6410510659395141,0.6555232558139535,0.7317487266553481,0.6681445805888047,0.33185541941119534,1293,224,511,724
rbf,10,balanced,0.8727272727272727,0.6108663729809104,0.6537916371367825,0.7186870141088396,0.6886167551682472,0.31138324483175284,1248,182,597,795,0.8561197916666666,0.6519583539910758,0.6646075581395349,0.7402195327891922,0.6756390409411162,0.32436095905888385,1315,221,514,702
rbf,100,balanced,0.8814147018030514,0.622124326970142,0.6658398299078667,0.7294117647058824,0.7013060659240954,0.2986939340759046,1271,171,608,772,0.864406779661017,0.6574119980168567,0.673328488372093,0.7468318783441283,0.6872094003689726,0.3127905996310274,1326,208,527,691
sigmoid,0.1,balanced,0.723954642097803,1.0,0.723954642097803,0.8398766700924976,0.5,0.5,2043,779,0,0,0.732921511627907,1.0,0.732921511627907,0.8458796393373873,0.5,0.5,2017,735,0,0
sigmoid,1,balanced,0.8888888888888888,0.438570729319628,0.5538625088589653,0.5873484103572599,0.6473983299999937,0.3526016700000063,896,112,667,1147,0.8677758318739054,0.49132374814080315,0.5723110465116279,0.6274137385248496,0.6429407856350274,0.35705921436497257,991,151,584,1026
sigmoid,10,balanced,0.8699861687413555,0.6157611355849242,0.6552090715804394,0.7211235310977357,0.6872130453277638,0.31278695467223616,1258,188,591,785,0.8508250825082508,0.639067922657412,0.653343023255814,0.7298980747451868,0.6657924647300666,0.3342075352699334,1289,226,509,728
sigmoid,100,balanced,0.872133425990271,0.6142927068037201,0.6555634301913537,0.7208500861573807,0.6890462250321553,0.3109537749678447,1255,184,595,788,0.8545454545454545,0.6524541398116014,0.6638808139534884,0.7399493955580545,0.6738461175248482,0.32615388247515176,1316,224,511,701
