Kernel,C,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
linear,0.1,balanced,0.974913624755896,0.6338509620080086,0.6409315972858977,0.7682291666666666,0.6917380747071527,0.30826192529284735,6490,167,500,3749,0.9683557394002068,0.5168340876476433,0.5358606557377049,0.6739599827263567,0.6492872292731797,0.3507127707268203,4682,153,548,4377
linear,1,balanced,0.9751726164242691,0.6483054985838461,0.6543187236383642,0.7788337439868591,0.6974660926202589,0.30253390737974106,6638,169,498,3601,0.9673084636983554,0.5323987195054641,0.5492827868852459,0.6867924528301886,0.6499368775844011,0.3500631224155989,4823,163,538,4236
linear,10,balanced,0.9752562225475842,0.6505518117003614,0.6564276545021089,0.7804792313550882,0.6985892491785165,0.3014107508214835,6661,169,498,3578,0.9675298804780876,0.5361518931449387,0.5527663934426229,0.6899637758363519,0.6518134644041385,0.34818653559586155,4857,163,538,4202
linear,100,balanced,0.9752815562381162,0.6512354722140834,0.6570695030258573,0.7809791520262357,0.6989310794353776,0.3010689205646224,6668,169,498,3571,0.9673761686890789,0.536814217904846,0.5532786885245902,0.6904728098821525,0.6514313600223232,0.34856863997767684,4863,164,537,4196
rbf,0.1,balanced,0.9752655538694992,0.6276980173845103,0.6355217311571612,0.7638005823281242,0.6916601031450287,0.3083398968549713,6427,163,504,3812,0.9686209744013212,0.5179379622474887,0.5369877049180328,0.6749622383658203,0.6505524333348713,0.34944756666512866,4692,152,549,4367
rbf,1,balanced,0.9738459339717022,0.6654946772145718,0.6691729323308271,0.7906706892550477,0.6955659293119336,0.3044340706880664,6814,183,484,3425,0.9677985948477752,0.5474114140633624,0.5630122950819673,0.6992878798561658,0.6560166913398124,0.34398330866018756,4959,165,536,4100
rbf,10,balanced,0.9714630225080386,0.7081746264283622,0.7064918393544838,0.8191831892899509,0.6944171482966399,0.3055828517033601,7251,213,454,2988,0.9657912923289564,0.6170659013136107,0.6242827868852459,0.7530140769178959,0.6673061318265628,0.33269386817343716,5590,198,503,3469
rbf,100,balanced,0.9697977988226261,0.740111338997949,0.7343664038144141,0.8395280562787348,0.6931441252710884,0.3068558747289116,7578,236,431,2661,0.9628378378378378,0.6921293741031019,0.6894467213114754,0.8053432663284311,0.6734541307034767,0.3265458692965233,6270,242,459,2789
sigmoid,0.1,balanced,0.9516427104722792,0.9052641859556597,0.8678708967540804,0.9278742679813805,0.599558629709464,0.40044137029053595,9269,471,196,970,0.9436355096289337,0.8870736284358097,0.8460040983606557,0.9144807965860597,0.6011687685688321,0.39883123143116794,8036,480,221,1023
sigmoid,1,balanced,0.9745079057760568,0.5899013575544487,0.6004951402897487,0.7349272981687656,0.6765098991670295,0.3234901008329705,6040,158,509,4199,0.9688260004421844,0.4837178496522795,0.5063524590163935,0.6452657929612723,0.6412883114167246,0.3587116885832754,4382,141,560,4677
sigmoid,10,balanced,0.9693690947881743,0.6212520753979881,0.625985695947185,0.7572168323314089,0.6599513750303283,0.3400486249696717,6361,201,466,3878,0.962088130210401,0.5350480185450933,0.5488729508196721,0.6876640419947506,0.6312900577746865,0.3687099422253135,4847,191,510,4212
sigmoid,100,balanced,0.9483079788885439,0.5966402969039946,0.5907757197872731,0.7324500929200888,0.5486949610457004,0.45130503895429963,6109,333,334,4130,0.9352476392368472,0.5357103433050006,0.5346311475409836,0.6812184166198765,0.5281975396981493,0.4718024603018507,4853,336,365,4206
