Kernel,C,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
linear,0.1,None,0.6574881312041433,0.9650323071075637,0.6733793386521639,0.7821131533011603,0.5935473913004816,0.4064526086995184,22851,11904,3398,828,0.6601973488676217,0.9643989059175965,0.6763688227991865,0.7838176396901851,0.596678816325402,0.403321183674598,22213,11433,3395,820
linear,1,None,0.7008214019025356,0.9116094429663415,0.7099099561324748,0.7924375917767988,0.6547002906898104,0.3452997093101896,21586,9215,6087,2093,0.7020566239316239,0.9129509833716841,0.7113388447214812,0.7937340756817968,0.6555583079793408,0.3444416920206592,21028,8924,5904,2005
linear,10,None,0.7269111955402479,0.8645635373115419,0.720427900772171,0.7897843447397863,0.6809747499654036,0.31902525003459636,20472,7691,7611,3207,0.7294752973801357,0.8679720401163548,0.7238583238688888,0.7927199191102122,0.6839860200581773,0.3160139799418227,19992,7414,7414,3041
linear,100,None,0.7778206116679517,0.7668820473837578,0.7253277237628588,0.7723125996810207,0.7139533750185029,0.28604662498149713,18159,5187,10115,5520,0.7745853467415437,0.7725003256197629,0.7248355827896781,0.7735414311798973,0.7116480586825548,0.28835194131744524,17793,5178,9650,5240
rbf,0.1,None,0.721056537579274,0.9026985936906119,0.7287652959133937,0.8017178328301108,0.6811558580791316,0.3188441419208684,21375,8269,7033,2304,0.7230474865193947,0.9023574870837494,0.7303293626687092,0.8028120050986907,0.6827339094442216,0.31726609055577837,20784,7961,6867,2249
rbf,1,None,0.7425636252997817,0.8760927404028886,0.7402324209230138,0.8038205207687539,0.7030444096734088,0.29695559032659125,20745,7192,8110,2934,0.7453950512886504,0.8802153432032301,0.7442222867858747,0.807214524605829,0.7065967463251112,0.29340325367488884,20274,6925,7903,2759
rbf,10,None,0.8432468587262911,0.7453862071878036,0.7611656961083605,0.791302398565344,0.7654848955165263,0.23451510448347368,17650,3281,12021,6029,0.8443278238265731,0.7474058958885078,0.7624996698449592,0.7929160333471512,0.7666757021929725,0.23332429780702746,17215,3174,11654,5818
rbf,100,None,0.8408511842974427,0.7526077959373284,0.7631923244657653,0.7942860963162703,0.766089546903444,0.233910453096556,17821,3373,11929,5858,0.8423884069209518,0.7546129466417748,0.7648239613322416,0.796088489900609,0.7676490684112569,0.2323509315887431,17381,3252,11576,5652
sigmoid,0.1,None,0.6627067014795475,0.6431437138392668,0.5843872655909289,0.6527786707816284,0.5683043101937153,0.4316956898062847,15229,7751,7551,8450,0.6657686781609196,0.6437719793339991,0.5866723013126964,0.6545855865798478,0.5708743899907114,0.4291256100092886,14828,7444,7384,8205
sigmoid,1,None,0.6608151293612923,0.6374846910764813,0.5810266540109285,0.6489402863161515,0.5655728252141,0.4344271747859,15095,7748,7554,8584,0.664215796833416,0.639300134589502,0.5839518237764454,0.651519844254679,0.5686384676184628,0.4313615323815372,14725,7444,7384,8308
sigmoid,10,None,0.6550530188270937,0.639173951602686,0.5763577127318437,0.647016073871409,0.559163501745664,0.440836498254336,15135,7970,7332,8544,0.6517994463242079,0.6439890591759649,0.5741264097620242,0.6478707141297227,0.5547973350910846,0.44520266490891536,14833,7924,6904,8200
sigmoid,100,None,0.6504612744046342,0.6401875079184087,0.5724583771581027,0.6452835007662183,0.5539193976659094,0.44608060233409064,15159,8146,7156,8520,0.6484149855907781,0.644727130638649,0.5711946329996567,0.6465657994992926,0.5508502122035974,0.4491497877964026,14850,8052,6776,8183
