Kernel,C,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
linear,0.1,None,0.723954642097803,1.0,0.723954642097803,0.8398766700924976,0.5,0.5,2043,779,0,0,0.732921511627907,1.0,0.732921511627907,0.8458796393373873,0.5,0.5,2017,735,0,0
linear,1,None,0.723954642097803,1.0,0.723954642097803,0.8398766700924976,0.5,0.5,2043,779,0,0,0.732921511627907,1.0,0.732921511627907,0.8458796393373873,0.5,0.5,2017,735,0,0
linear,10,None,0.723954642097803,1.0,0.723954642097803,0.8398766700924976,0.5,0.5,2043,779,0,0,0.732921511627907,1.0,0.732921511627907,0.8458796393373873,0.5,0.5,2017,735,0,0
linear,100,None,0.723954642097803,1.0,0.723954642097803,0.8398766700924976,0.5,0.5,2043,779,0,0,0.732921511627907,1.0,0.732921511627907,0.8458796393373873,0.5,0.5,2017,735,0,0
rbf,0.1,None,0.745673438675696,0.9701419481155164,0.7388377037562013,0.843224845777494,0.5511813720038429,0.4488186279961571,1982,676,103,61,0.7576804915514593,0.9781854238968766,0.7547238372093024,0.853927721272452,0.5598410112681662,0.4401589887318338,1973,631,104,44
rbf,1,None,0.752963671128107,0.9637787567302986,0.7448618001417434,0.8454272219836839,0.5672552320236859,0.4327447679763141,1969,646,133,74,0.7661069894572433,0.9727317798710957,0.7623546511627907,0.8571428571428571,0.578882896738269,0.421117103261731,1962,599,136,55
rbf,10,None,0.7595330739299611,0.9554576603034752,0.7487597448618002,0.8463039236939085,0.5810664424752293,0.4189335575247707,1952,618,161,91,0.7681674565560821,0.9643034209221616,0.7605377906976745,0.855132996262915,0.5828319825699243,0.4171680174300757,1945,587,148,72
rbf,100,None,0.760989010989011,0.9490944689182574,0.7473423104181431,0.8446961446307993,0.5836614834963559,0.41633851650364406,1939,609,170,104,0.772383605252686,0.9623202776400595,0.7645348837209303,0.8569536423841059,0.5920444925615264,0.40795550743847364,1941,572,163,76
sigmoid,0.1,None,0.6815812337098176,0.7679882525697503,0.572289156626506,0.7222094361334868,0.41351915837730135,0.5864808416226986,1569,733,46,474,0.6893903024483917,0.7119484382746654,0.5537790697674418,0.7004878048780487,0.41583816471556395,0.584161835284436,1436,647,88,581
sigmoid,1,None,0.6754306436990027,0.7293196279980421,0.5503189227498229,0.7013414921157919,0.4050962709951699,0.59490372900483,1490,716,63,553,0.6832080200501253,0.6757560733763014,0.532703488372093,0.6794616151545363,0.40794606389903504,0.5920539361009649,1363,632,103,654
sigmoid,10,None,0.675614194722475,0.7268722466960352,0.5496102055279943,0.7003065314784248,0.4057981259154117,0.5942018740845882,1485,713,66,558,0.6821627084386054,0.6693108577094695,0.5290697674418605,0.6756756756756757,0.40676427239214974,0.5932357276078503,1350,629,106,667
sigmoid,100,None,0.675614194722475,0.7268722466960352,0.5496102055279943,0.7003065314784248,0.4057981259154117,0.5942018740845882,1485,713,66,558,0.6821627084386054,0.6693108577094695,0.5290697674418605,0.6756756756756757,0.40676427239214974,0.5932357276078503,1350,629,106,667
