Kernel,C,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
linear,0.1,balanced,0.8716654650324441,0.591776798825257,0.6413890857547838,0.7049562682215744,0.6816393621854142,0.3183606378145858,1209,178,601,834,0.8519021739130435,0.6217154189390184,0.643531976744186,0.7188306104901118,0.6625583897416181,0.33744161025838193,1254,218,517,763
linear,1,balanced,0.8708563535911602,0.6172295643661282,0.6566265060240963,0.7224291034087654,0.6885891082421142,0.31141089175788583,1261,187,592,782,0.8533419857235561,0.6519583539910758,0.6627906976744186,0.7391793142214726,0.6722376803968985,0.32776231960310154,1315,226,509,702
linear,10,balanced,0.8766737138830162,0.608908467939305,0.6548547129695251,0.7186597342576546,0.6921307423136833,0.3078692576863167,1244,175,604,799,0.8579804560260587,0.652949925632127,0.6664244186046512,0.7415540540540541,0.6781756430881722,0.32182435691182776,1317,218,517,700
linear,100,balanced,0.8831808585503167,0.6142927068037201,0.66194188518781,0.7245958429561202,0.7005994984596264,0.29940050154037356,1255,166,613,788,0.8639947437582128,0.6519583539910758,0.6696947674418605,0.7431477818592822,0.6851628504649256,0.31483714953507436,1315,207,528,702
rbf,0.1,balanced,0.8731543624161073,0.6368086147821831,0.6700921332388377,0.7364845740164165,0.6970949364026449,0.30290506359735514,1301,189,590,742,0.8537675606641124,0.6628656420426375,0.6696947674418605,0.7463019815796819,0.6756505080961487,0.3243494919038513,1337,229,506,680
rbf,1,balanced,0.8812541694462975,0.6465981399902104,0.6810772501771793,0.745906267645398,0.7090500327678908,0.2909499672321092,1321,178,601,722,0.8607755880483153,0.6712940009915717,0.6795058139534884,0.7543175487465181,0.6866674086590512,0.3133325913409488,1354,219,516,663
rbf,10,balanced,0.8791281373844122,0.6514929025942242,0.6828490432317506,0.7483834692156311,0.7082881714511557,0.29171182854884425,1331,183,596,712,0.8597715736040609,0.6717897868120972,0.6791424418604651,0.7542443640411911,0.6855547573516269,0.31444524264837315,1355,221,514,662
rbf,100,balanced,0.8780649436713055,0.648556045031816,0.6803685329553508,0.7460585585585586,0.7061778941462032,0.29382210585379676,1325,184,595,718,0.8593350383631714,0.6663361427863164,0.6755087209302325,0.7506283161128177,0.68350820744758,0.31649179255242,1344,220,515,673
sigmoid,0.1,balanced,0.6078147612156295,0.4111600587371512,0.3816442239546421,0.49051094890510943,0.35769812949694535,0.6423018705030547,840,542,237,1203,0.612876254180602,0.3634110064452157,0.3651889534883721,0.45627139744786804,0.36673951682805,0.6332604831719499,733,463,272,1284
sigmoid,1,balanced,0.6094759511844939,0.4155653450807636,0.3841247342310418,0.49417927823050056,0.3586170756212547,0.6413829243787452,849,544,235,1194,0.6165289256198347,0.3698562221120476,0.3695494186046512,0.46234893089556867,0.36928185255262247,0.6307181474473775,746,464,271,1271
sigmoid,10,balanced,0.6094759511844939,0.4155653450807636,0.3841247342310418,0.49417927823050056,0.3586170756212547,0.6413829243787452,849,544,235,1194,0.6171617161716172,0.3708477937530987,0.3702761627906977,0.4633013316816352,0.369777638373148,0.6302223616268521,748,464,271,1269
sigmoid,100,balanced,0.6094759511844939,0.4155653450807636,0.3841247342310418,0.49417927823050056,0.3586170756212547,0.6413829243787452,849,544,235,1194,0.6171617161716172,0.3708477937530987,0.3702761627906977,0.4633013316816352,0.369777638373148,0.6302223616268521,748,464,271,1269
