Kernel,C,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
linear,0.1,balanced,0.9749286893859781,0.6342416251587069,0.6412983678708968,0.7685207100591716,0.6919334062825018,0.3080665937174982,6494,167,500,3745,0.968135733498862,0.5165029252676896,0.5354508196721312,0.6736251079758134,0.648408381321434,0.35159161867856603,4679,154,547,4380
linear,1,balanced,0.9751726164242691,0.6483054985838461,0.6543187236383642,0.7788337439868591,0.6974660926202589,0.30253390737974106,6638,169,498,3601,0.9676121504727418,0.5309636825256651,0.548155737704918,0.6856735566642908,0.6506458926180394,0.3493541073819606,4810,161,540,4249
linear,10,balanced,0.9752707052970442,0.6509424748510597,0.6567944250871081,0.780764950506648,0.6987845807538657,0.30121541924613426,6665,169,498,3574,0.9674650698602795,0.5350480185450933,0.5517418032786885,0.689032624920037,0.6512615271042157,0.3487384728957843,4847,163,538,4212
linear,100,balanced,0.9752851711026616,0.651333138001758,0.6571611956721071,0.7810505358083972,0.6989799123292149,0.30102008767078514,6669,169,498,3570,0.9675039872408293,0.5357103433050006,0.5523565573770491,0.6895914742451155,0.6515926894841693,0.34840731051583074,4853,163,538,4206
rbf,0.1,balanced,0.97022005534326,0.7191131946479148,0.7155694113332111,0.8260040385909804,0.6901413049701344,0.3098586950298656,7363,226,441,2876,0.9640006515719173,0.6532729881885417,0.6555327868852459,0.7787866824582182,0.6690045397433436,0.3309954602566564,5918,221,480,3141
rbf,1,balanced,0.9697047827768467,0.7346420548881727,0.7293233082706767,0.8359635474549901,0.6911591084036066,0.3088408915963934,7522,235,432,2717,0.9622874806800619,0.6872723258637818,0.684733606557377,0.801854594629403,0.669599073060279,0.330400926939721,6226,244,457,2833
rbf,10,balanced,0.9680904522613065,0.752612559820295,0.7444525949018889,0.8468597175668994,0.6859014823089481,0.3140985176910519,7706,254,413,2533,0.9603312990409765,0.729550723037863,0.7210040983606557,0.8291826108776111,0.6700535355560213,0.3299464644439787,6609,273,428,2450
rbf,100,balanced,0.9686093046523262,0.7564215255396035,0.7483036860443792,0.8494653139566767,0.6900548407308212,0.30994515926917876,7745,251,416,2494,0.9605585144666763,0.7366155204768738,0.7274590163934426,0.8338123203798575,0.672872667513758,0.32712733248624204,6673,274,427,2386
sigmoid,0.1,balanced,0.9387259156396459,0.5281765797441156,0.5246653218411883,0.6759999999999999,0.499470598717635,0.500529401282365,5408,353,314,4831,0.9213039867109635,0.4897891599514295,0.48760245901639343,0.6395675675675675,0.4745664772653011,0.5254335227346989,4437,379,322,4622
sigmoid,1,balanced,0.9383128295254833,0.5214376403945697,0.5185219145424537,0.6703496766903132,0.49760037941767465,0.5023996205823253,5339,351,316,4900,0.921515278359146,0.48603598631195494,0.4845286885245902,0.6364096263640963,0.4755429574926394,0.5244570425073606,4403,375,326,4656
sigmoid,10,balanced,0.9382259767687434,0.5206563140931731,0.5177883733724555,0.6696815526662898,0.4972097162669764,0.5027902837330236,5331,351,316,4908,0.9214001257597988,0.48526327409206316,0.48381147540983604,0.6357194504699929,0.4751566013826935,0.5248433986173064,4396,375,326,4663
sigmoid,100,balanced,0.9382368467358789,0.5207539798808477,0.5178800660187053,0.6697651048863208,0.4972585491608137,0.5027414508391863,5332,351,316,4907,0.9214330609679446,0.48548404901203224,0.4840163934426229,0.6359167148640833,0.47526698884267804,0.524733011157322,4398,375,326,4661
