Kernel,C,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
linear,0.1,None,0.8401273885350319,0.612737024367583,0.6939278109848388,0.7086375735671201,0.7161515470811906,0.28384845291880945,14509,2761,12541,9170,0.8440828402366863,0.6193287891286415,0.6988193655740735,0.7144466982195177,0.7208122229970158,0.27918777700298425,14265,2635,12193,8768
linear,1,None,0.8323167525502155,0.6684826217323366,0.716810753957056,0.7414572452397122,0.7300392457766376,0.2699607542233624,15829,3189,12113,7850,0.8330853438197471,0.6806321364998046,0.7227490029317768,0.7491816205108599,0.7344015821425378,0.2655984178574622,15677,3141,11687,7356
linear,10,None,0.8104117014813776,0.7323789011360277,0.733357276621944,0.7694218909445848,0.7336250798975132,0.26637492010248676,17342,4057,11245,6337,0.8017091609146828,0.7412842443450701,0.7310689099601173,0.7703135574103316,0.7282426077403796,0.27175739225962037,17074,4223,10605,5959
linear,100,None,0.7852047556142668,0.7530723425820347,0.7248659603396527,0.7688029489749725,0.7171452420007285,0.2828547579992715,17832,4878,10424,5847,0.784169745022074,0.7557417618199974,0.7248619951929426,0.7696933519046671,0.7163184126067885,0.2836815873932115,17407,4791,10037,5626
rbf,0.1,None,0.8439453125,0.7299294733730309,0.7539570560016419,0.782807581693426,0.7605339433261704,0.23946605667382959,17284,3196,12106,6395,0.8464170692431562,0.7302565883732036,0.7552890837537307,0.784057802120965,0.7622148871188921,0.23778511288110793,16820,3052,11776,6213
rbf,1,None,0.8385166896158777,0.7458085223193547,0.7583438085221005,0.7894501564595441,0.7617749970112,0.2382250029888,17660,3401,11901,6019,0.8410381978452498,0.7456258411843876,0.7595150682760624,0.7904632591535682,0.763357835617821,0.236642164382179,17174,3246,11582,5859
rbf,10,None,0.8364266966629171,0.7536635837662063,0.7608322003027116,0.7928912584693991,0.7627944111485587,0.23720558885144127,17846,3490,11812,5833,0.8383789534771254,0.7526592280640819,0.7612582868915243,0.7932099471528905,0.7636374100935462,0.23636258990645376,17336,3342,11486,5697
rbf,100,None,0.8364650203832997,0.753874741331982,0.7609604679202688,0.793025322079076,0.7628999899314465,0.23710001006855352,17851,3490,11812,5828,0.8383056912141579,0.7527026440324751,0.7612318744882597,0.7932012627533512,0.7635916780993236,0.2364083219006764,17337,3344,11484,5696
sigmoid,0.1,None,0.43356438951060633,0.43848980108957303,0.3109207049588261,0.43601318579797177,0.2760021871739853,0.7239978128260147,10383,13565,1737,13296,0.4323566219306952,0.4349845873312204,0.3088402313726526,0.4336666233822447,0.2739395556024864,0.7260604443975136,10019,13154,1674,13014
sigmoid,1,None,0.4299014007024671,0.42902994214282697,0.30756009337882556,0.4294652293384062,0.2743110761557162,0.7256889238442839,10159,13472,1830,13520,0.42785176099526895,0.4240437632961403,0.30464065925358547,0.4259392512156298,0.27160510258143944,0.7283948974185606,9767,13061,1767,13266
sigmoid,10,None,0.4293409110187463,0.4275096076692428,0.30707267643210795,0.4284233023679031,0.2741063918623302,0.7258936081376698,10123,13455,1847,13556,0.4270723568668774,0.4223071245604133,0.30390111196217745,0.42467637363836797,0.27114142308409117,0.7288585769159088,9727,13049,1779,13306
sigmoid,100,None,0.4292927150070007,0.42729845010346723,0.3070470229085965,0.42829326109041654,0.27413151494847915,0.7258684850515209,10118,13451,1851,13561,0.42709110867178923,0.4223071245604133,0.303927524365442,0.4246856444289207,0.2711751430733008,0.7288248569266992,9727,13048,1780,13306
