Kernel,C,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
linear,0.1,balanced,0.724113475177305,0.9995105237395986,0.723954642097803,0.8398108163684969,0.5003971103935477,0.49960288960645227,2042,778,1,1,0.7332605531295487,0.999008428358949,0.732921511627907,0.8457502623294859,0.5008647583971616,0.4991352416028384,2015,733,2,2
linear,1,balanced,0.7242112725983694,1.0,0.7243090007087172,0.8400493421052632,0.5006418485237484,0.4993581514762516,2043,778,1,0,0.7334545454545455,1.0,0.7336482558139535,0.8462345290539123,0.501360544217687,0.49863945578231295,2017,733,2,0
linear,10,balanced,0.7242112725983694,1.0,0.7243090007087172,0.8400493421052632,0.5006418485237484,0.4993581514762516,2043,778,1,0,0.7334545454545455,1.0,0.7336482558139535,0.8462345290539123,0.501360544217687,0.49863945578231295,2017,733,2,0
linear,100,balanced,0.7242112725983694,1.0,0.7243090007087172,0.8400493421052632,0.5006418485237484,0.4993581514762516,2043,778,1,0,0.7334545454545455,1.0,0.7336482558139535,0.8462345290539123,0.501360544217687,0.49863945578231295,2017,733,2,0
rbf,0.1,balanced,0.7242112725983694,1.0,0.7243090007087172,0.8400493421052632,0.5006418485237484,0.4993581514762516,2043,778,1,0,0.7334545454545455,1.0,0.7336482558139535,0.8462345290539123,0.501360544217687,0.49863945578231295,2017,733,2,0
rbf,1,balanced,0.7242112725983694,1.0,0.7243090007087172,0.8400493421052632,0.5006418485237484,0.4993581514762516,2043,778,1,0,0.7334545454545455,1.0,0.7336482558139535,0.8462345290539123,0.501360544217687,0.49863945578231295,2017,733,2,0
rbf,10,balanced,0.7242112725983694,1.0,0.7243090007087172,0.8400493421052632,0.5006418485237484,0.4993581514762516,2043,778,1,0,0.7334545454545455,1.0,0.7336482558139535,0.8462345290539123,0.501360544217687,0.49863945578231295,2017,733,2,0
rbf,100,balanced,0.7242112725983694,1.0,0.7243090007087172,0.8400493421052632,0.5006418485237484,0.4993581514762516,2043,778,1,0,0.7334545454545455,1.0,0.7336482558139535,0.8462345290539123,0.501360544217687,0.49863945578231295,2017,733,2,0
sigmoid,0.1,balanced,0.723954642097803,1.0,0.723954642097803,0.8398766700924976,0.5,0.5,2043,779,0,0,0.732921511627907,1.0,0.732921511627907,0.8458796393373873,0.5,0.5,2017,735,0,0
sigmoid,1,balanced,0.723954642097803,1.0,0.723954642097803,0.8398766700924976,0.5,0.5,2043,779,0,0,0.732921511627907,1.0,0.732921511627907,0.8458796393373873,0.5,0.5,2017,735,0,0
sigmoid,10,balanced,0.0,0.0,0.27604535790219703,0.0,0.5,0.5,0,0,779,2043,0.0,0.0,0.267078488372093,0.0,0.5,0.5,0,0,735,2017
sigmoid,100,balanced,0.723954642097803,1.0,0.723954642097803,0.8398766700924976,0.5,0.5,2043,779,0,0,0.732921511627907,1.0,0.732921511627907,0.8458796393373873,0.5,0.5,2017,735,0,0
