Kernel,C,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
linear,0.1,None,0.723954642097803,1.0,0.723954642097803,0.8398766700924976,0.5,0.5,2043,779,0,0,0.732921511627907,1.0,0.732921511627907,0.8458796393373873,0.5,0.5,2017,735,0,0
linear,1,None,0.7242112725983694,1.0,0.7243090007087172,0.8400493421052632,0.5006418485237484,0.4993581514762516,2043,778,1,0,0.7334545454545455,1.0,0.7336482558139535,0.8462345290539123,0.501360544217687,0.49863945578231295,2017,733,2,0
linear,10,None,0.7242112725983694,1.0,0.7243090007087172,0.8400493421052632,0.5006418485237484,0.4993581514762516,2043,778,1,0,0.7334545454545455,1.0,0.7336482558139535,0.8462345290539123,0.501360544217687,0.49863945578231295,2017,733,2,0
linear,100,None,0.7242112725983694,1.0,0.7243090007087172,0.8400493421052632,0.5006418485237484,0.4993581514762516,2043,778,1,0,0.7334545454545455,1.0,0.7336482558139535,0.8462345290539123,0.501360544217687,0.49863945578231295,2017,733,2,0
rbf,0.1,None,0.723954642097803,1.0,0.723954642097803,0.8398766700924976,0.5,0.5,2043,779,0,0,0.732921511627907,1.0,0.732921511627907,0.8458796393373873,0.5,0.5,2017,735,0,0
rbf,1,None,0.7242112725983694,1.0,0.7243090007087172,0.8400493421052632,0.5006418485237484,0.4993581514762516,2043,778,1,0,0.7334545454545455,1.0,0.7336482558139535,0.8462345290539123,0.501360544217687,0.49863945578231295,2017,733,2,0
rbf,10,None,0.7242112725983694,1.0,0.7243090007087172,0.8400493421052632,0.5006418485237484,0.4993581514762516,2043,778,1,0,0.7334545454545455,1.0,0.7336482558139535,0.8462345290539123,0.501360544217687,0.49863945578231295,2017,733,2,0
rbf,100,None,0.7242112725983694,1.0,0.7243090007087172,0.8400493421052632,0.5006418485237484,0.4993581514762516,2043,778,1,0,0.7334545454545455,1.0,0.7336482558139535,0.8462345290539123,0.501360544217687,0.49863945578231295,2017,733,2,0
sigmoid,0.1,None,0.723954642097803,1.0,0.723954642097803,0.8398766700924976,0.5,0.5,2043,779,0,0,0.732921511627907,1.0,0.732921511627907,0.8458796393373873,0.5,0.5,2017,735,0,0
sigmoid,1,None,0.723954642097803,1.0,0.723954642097803,0.8398766700924976,0.5,0.5,2043,779,0,0,0.732921511627907,1.0,0.732921511627907,0.8458796393373873,0.5,0.5,2017,735,0,0
sigmoid,10,None,0.723954642097803,1.0,0.723954642097803,0.8398766700924976,0.5,0.5,2043,779,0,0,0.732921511627907,1.0,0.732921511627907,0.8458796393373873,0.5,0.5,2017,735,0,0
sigmoid,100,None,0.723954642097803,1.0,0.723954642097803,0.8398766700924976,0.5,0.5,2043,779,0,0,0.732921511627907,1.0,0.732921511627907,0.8458796393373873,0.5,0.5,2017,735,0,0
