Kernel,C,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
linear,0.1,balanced,0.9399614431286147,1.0,0.9400330093526499,0.9690516751845543,0.5097451274362819,0.49025487256371814,10239,654,13,0,0.9284542845428454,0.9998896125400154,0.9283811475409836,0.9628487908583577,0.5020846065553144,0.4979153934446856,9058,698,3,1
linear,1,balanced,0.9398288711012973,0.9976560210958101,0.9378323858426554,0.9678794769755543,0.5085731379841869,0.4914268620158131,10215,654,13,24,0.9285054877423325,0.9992272877801082,0.9278688524590164,0.9625691195236069,0.5024667109371297,0.4975332890628703,9052,697,4,7
linear,10,balanced,0.9399614431286147,1.0,0.9400330093526499,0.9690516751845543,0.5097451274362819,0.49025487256371814,10239,654,13,0,0.9284542845428454,0.9998896125400154,0.9283811475409836,0.9628487908583577,0.5020846065553144,0.4979153934446856,9058,698,3,1
linear,100,balanced,0.9398288711012973,0.9976560210958101,0.9378323858426554,0.9678794769755543,0.5085731379841869,0.4914268620158131,10215,654,13,24,0.9285054877423325,0.9992272877801082,0.9278688524590164,0.9625691195236069,0.5024667109371297,0.4975332890628703,9052,697,4,7
rbf,0.1,balanced,0.9398399411277711,0.9978513526711593,0.938015771135155,0.9679772619611559,0.5086708037718615,0.49132919622813853,10217,654,13,22,0.9285128205128205,0.9993376752400928,0.9279713114754098,0.9626242756127386,0.502521904667122,0.497478095332878,9053,697,4,6
rbf,1,balanced,0.9398399411277711,0.9978513526711593,0.938015771135155,0.9679772619611559,0.5086708037718615,0.49132919622813853,10217,654,13,22,0.9285128205128205,0.9993376752400928,0.9279713114754098,0.9626242756127386,0.502521904667122,0.497478095332878,9053,697,4,6
rbf,10,balanced,0.9398399411277711,0.9978513526711593,0.938015771135155,0.9679772619611559,0.5086708037718615,0.49132919622813853,10217,654,13,22,0.9285128205128205,0.9993376752400928,0.9279713114754098,0.9626242756127386,0.502521904667122,0.497478095332878,9053,697,4,6
rbf,100,balanced,0.9398399411277711,0.9978513526711593,0.938015771135155,0.9679772619611559,0.5086708037718615,0.49132919622813853,10217,654,13,22,0.9285128205128205,0.9993376752400928,0.9279713114754098,0.9626242756127386,0.502521904667122,0.497478095332878,9053,697,4,6
sigmoid,0.1,balanced,0.0,0.0,0.05996699064735008,0.0,0.49025487256371814,0.5097451274362819,0,13,654,10239,0.25,0.00011038745998454576,0.07161885245901639,0.00022067747986317997,0.4979153934446856,0.5020846065553144,1,3,698,9058
sigmoid,1,balanced,0.0,0.0,0.05996699064735008,0.0,0.49025487256371814,0.5097451274362819,0,13,654,10239,0.25,0.00011038745998454576,0.07161885245901639,0.00022067747986317997,0.4979153934446856,0.5020846065553144,1,3,698,9058
sigmoid,10,balanced,0.0,0.0,0.05996699064735008,0.0,0.49025487256371814,0.5097451274362819,0,13,654,10239,0.25,0.00011038745998454576,0.07161885245901639,0.00022067747986317997,0.4979153934446856,0.5020846065553144,1,3,698,9058
sigmoid,100,balanced,0.0,0.0,0.05996699064735008,0.0,0.49025487256371814,0.5097451274362819,0,13,654,10239,0.25,0.00011038745998454576,0.07161885245901639,0.00022067747986317997,0.4979153934446856,0.5020846065553144,1,3,698,9058
