Kernel,C,class_weight,Validation Precision,Validation Recall,Validation Accuracy,Validation F1 Score,Validation Balanced Accuracy,Validation Balanced Error Rate,Validation TP,Validation FP,Validation TN,Validation FN,Test Precision,Test Recall,Test Accuracy,Test F1 Score,Test Balanced Accuracy,Test Balanced Error Rate,Test TP,Test FP,Test TN,Test FN
linear,0.1,None,0.6479674548068394,0.8946323746779847,0.640748056745594,0.7515787979848152,0.5712542346530689,0.4287457653469311,21184,11509,3793,2495,0.6486794603838115,0.8893326965657969,0.6396555822614299,0.7501785354598891,0.5705767879915578,0.42942321200844225,20484,11094,3734,2549
linear,1,None,0.6607681715641754,0.9524895477004941,0.6740976373104846,0.7802532346225698,0.5978955384561809,0.40210446154381907,22554,11579,3723,1125,0.6611642574765368,0.9512004515260712,0.6737539948759937,0.7800961367277907,0.596992186917608,0.403007813082392,21909,11228,3600,1124
linear,10,None,0.6484118962295936,0.8940411334938131,0.6411585131217773,0.7516687970458742,0.5719388780787587,0.42806112192124135,21170,11479,3823,2509,0.6491027835901337,0.8888985368818652,0.6400781807136632,0.750306917086578,0.5712364278690416,0.4287635721309584,20474,11068,3760,2559
linear,100,None,0.6484118962295936,0.8940411334938131,0.6411585131217773,0.7516687970458742,0.5719388780787587,0.42806112192124135,21170,11479,3823,2509,0.6491027835901337,0.8888985368818652,0.6400781807136632,0.750306917086578,0.5712364278690416,0.4287635721309584,20474,11068,3760,2559
rbf,0.1,None,0.7163638801367567,0.9025718991511466,0.7237372053051486,0.7987591800123335,0.6747861456283768,0.3252138543716232,21372,8462,6840,2307,0.7171333977100289,0.9027916467676812,0.7242280975145928,0.7993234542274501,0.674824471886673,0.32517552811332695,20794,8202,6626,2239
rbf,1,None,0.7163638801367567,0.9025718991511466,0.7237372053051486,0.7987591800123335,0.6747861456283768,0.3252138543716232,21372,8462,6840,2307,0.7171333977100289,0.9027916467676812,0.7242280975145928,0.7993234542274501,0.674824471886673,0.32517552811332695,20794,8202,6626,2239
rbf,10,None,0.7163638801367567,0.9025718991511466,0.7237372053051486,0.7987591800123335,0.6747861456283768,0.3252138543716232,21372,8462,6840,2307,0.7171333977100289,0.9027916467676812,0.7242280975145928,0.7993234542274501,0.674824471886673,0.32517552811332695,20794,8202,6626,2239
rbf,100,None,0.7163638801367567,0.9025718991511466,0.7237372053051486,0.7987591800123335,0.6747861456283768,0.3252138543716232,21372,8462,6840,2307,0.7171333977100289,0.9027916467676812,0.7242280975145928,0.7993234542274501,0.674824471886673,0.32517552811332695,20794,8202,6626,2239
sigmoid,0.1,None,0.606833467850417,0.4762870053634022,0.4944203586362587,0.5336929774749195,0.49938386341885965,0.5006161365811403,11278,7307,7995,12401,0.6082127229888926,0.47071592931880346,0.4935421674018119,0.5307031498568245,0.4998575600195312,0.5001424399804688,10842,6984,7844,12191
sigmoid,1,None,0.606833467850417,0.4762870053634022,0.4944203586362587,0.5336929774749195,0.49938386341885965,0.5006161365811403,11278,7307,7995,12401,0.6082127229888926,0.47071592931880346,0.4935421674018119,0.5307031498568245,0.4998575600195312,0.5001424399804688,10842,6984,7844,12191
sigmoid,10,None,0.606833467850417,0.4762870053634022,0.4944203586362587,0.5336929774749195,0.49938386341885965,0.5006161365811403,11278,7307,7995,12401,0.6082127229888926,0.47071592931880346,0.4935421674018119,0.5307031498568245,0.4998575600195312,0.5001424399804688,10842,6984,7844,12191
sigmoid,100,None,0.606833467850417,0.4762870053634022,0.4944203586362587,0.5336929774749195,0.49938386341885965,0.5006161365811403,11278,7307,7995,12401,0.6082127229888926,0.47071592931880346,0.4935421674018119,0.5307031498568245,0.4998575600195312,0.5001424399804688,10842,6984,7844,12191
